N,D,Q,best_r,1,2,3,4,5,6,7,8,9,10,N^2,Q*3*2/N
69,11,117,4,6730005,7361536,6520655,6072619,6719481,6251800,7585398,7723351,8268015,6398753,2346,10.17391304
61,4,107,2,13579827,12932284,14947566,13524890,14213164,13832654,17421958,14930001,15649348,15254478,1830,10.52459016
55,12,97,8,14111740,12271650,13872882,13440082,11315229,11683379,12725732,10922643,12415957,12001966,1485,10.58181818
83,4,161,3,18344415,15940852,13472568,14006108,15895436,13638406,14864655,14905146,14232415,14636209,3403,11.63855422
58,2,117,2,16994864,9515462,11234424,12459060,12247700,9730455,9683212,11956935,10574591,10703585,1653,12.10344828
96,2,199,9,16076438,11082960,10697283,10349288,10534422,9918270,10392160,9701993,9651964,10867500,4560,12.4375
92,12,204,6,13618002,11025298,10817908,11220409,11321416,9098940,11500613,10052566,9802081,10345795,4186,13.30434783
68,9,159,2,15878908,10741085,11798450,11998320,11374660,13439190,11139266,12748582,11145321,11018527,2278,14.02941176
64,2,168,3,16131643,12818193,11758328,12164847,11950675,13086474,12435973,15856520,14177484,12675466,2016,15.75
96,12,253,8,14775385,10416558,9723100,9568828,9580498,10301183,9596191,9154182,10420245,9446620,4560,15.8125
74,12,202,9,8917068,7224003,7593231,8023112,7974636,8282546,7985703,7657991,7089620,7623952,2701,16.37837838
52,5,145,3,13193681,14010408,11947556,14012934,13396048,12312994,13485343,14368632,15001969,12958301,1326,16.73076923
59,2,197,4,16383507,9574928,9737042,8498582,9336152,9885732,9611282,10481019,10565735,11594412,1711,20.03389831
80,6,270,5,7673453,6006648,5492214,6224144,5357801,5770341,6184735,6847260,6604757,6074320,3160,20.25
36,5,125,6,36413490,24731890,18650690,24846530,21661140,13287850,18283610,23344860,27918910,20853830,630,20.83333333
91,12,318,6,13379650,9508919,8727530,9347675,10184796,8726091,9049272,8915379,8973578,8849286,4095,20.96703297
45,3,162,2,16582289,14319169,16743748,18915442,16248675,19692447,17727701,15664404,18324621,17265460,990,21.6
50,11,185,10,21718285,14697921,16221223,15494465,17426659,16618147,18129920,17632912,17474316,14199369,1225,22.2
57,11,214,2,13003491,9305457,11901605,9469870,10006257,12116450,11358779,11331525,11624407,10564791,1596,22.52631579
86,21,328,4,10036146,6299438,7575496,5427308,7110984,7112950,6261519,7642421,7274548,6927918,3655,22.88372093
89,8,340,4,10269788,6196552,5703660,5604217,7384084,7390091,6741882,5845571,6680000,7150305,3916,22.92134831
59,13,226,9,20515827,18655940,17370704,17761123,16193546,20037535,16113061,17142237,15107189,17463402,1711,22.98305085
98,13,382,7,9554744,8317028,8963606,8357141,8420107,8759399,8165303,8455607,8749947,9621498,4753,23.3877551
30,5,128,2,5237630,4636950,5653180,7478800,7240020,6615670,6748920,8532200,8085740,6508350,435,25.6
59,12,253,8,12813253,13263691,11358722,12609272,11575279,13719753,11966288,9780158,11334585,11548591,1711,25.72881356
80,7,355,5,10176775,8678653,9005676,9748917,7815277,8918856,9905268,8692085,8533220,9228366,3160,26.625
51,5,235,2,8750558,7905605,8606551,9549574,9292922,9240966,9989024,10170667,8370754,9351205,1275,27.64705882
