N,D,Q,score,est
31,2,128,11298750,31400
56,6,1120,10246292,126198
94,5,2009,9828641,50230
80,6,2288,11321951,93930
43,9,435,11405678,107838
42,10,202,7769869,494210
65,2,346,8567700,75274
79,5,294,12958814,107870
39,7,197,11052889,275723
55,12,885,6640021,197996
65,10,1690,8198582,244809
59,13,340,8658997,411284
77,13,1193,6792756,157850
52,13,954,5114657,1570355
50,11,568,5915394,234099
44,11,270,5864430,1214474
45,4,221,24620326,122655
43,6,97,17713981,206178
68,9,1028,7950428,249015
82,10,1182,9047237,143068
96,20,2071,4470620,811968
89,17,2707,4348235,282944
40,2,378,24466950,15812
59,6,1069,4390432,126000
91,12,1079,9880124,204739
99,23,999,8536885,1889877
96,2,1344,3738950,973
43,8,395,7192820,212850
80,7,226,16223943,144213
72,17,1423,5133639,1587061
74,3,410,11533265,55437
59,2,254,2618250,953
71,8,301,6742349,126732
90,18,253,10819912,287601
32,8,418,4180637,362625
72,6,354,19231043,139856
81,6,516,4940524,145632
86,21,382,7549715,2124345
89,8,670,7797737,121312
61,4,214,4193264,81874
42,5,410,7870628,198795
36,9,117,7402300,692162
87,9,2486,7420104,166903
88,17,199,11096061,287891
98,13,1536,8361770,206630
57,11,355,12637020,158488
45,3,860,11885585,92310
59,12,328,8872572,221720
54,7,1183,4701448,203642
93,12,476,12455399,244353
66,4,1200,4374917,118153
36,6,428,9519970,289930
46,6,145,17593571,200965
61,5,162,16944973,109480
54,9,435,12814927,226731
39,6,331,16055991,183886
92,12,1757,8305634,233226
96,3,200,23735615,42657
49,8,1467,10403770,171712
34,8,107,13913224,343827
57,6,396,13248775,151191
69,10,342,10853489,168130
36,5,185,15341170,182797
96,12,933,11685937,148672
86,3,1312,14816719,47803
52,5,235,3975581,159307
80,9,482,8376132,156515
70,11,2101,6890800,187906
37,2,194,9386150,112393
45,8,1001,5607720,228023
49,6,235,7756492,214062
54,3,1483,5169730,76283
62,13,318,13174852,135539
100,5,612,20429446,86492
38,7,214,8032151,284613
42,2,279,9810600,106139
32,7,117,6810538,311297
99,22,2574,5044243,1497252
49,8,168,16642021,171712
51,4,1344,10308354,94118
83,4,485,6381709,92220
86,18,1620,7040744,669749
47,7,253,7628420,222134
71,5,292,17520724,45320
51,5,1101,12634649,80809
91,22,1274,6433124,2103861
39,5,309,20374927,233407
58,2,125,4658200,85699
30,5,227,14615353,249024
89,13,2489,5094639,107030
69,11,403,10339078,153977
74,12,2358,5879614,184823
53,9,960,10476058,192921
74,12,161,8394155,184823
66,2,2009,49440500,75274
52,9,159,10055109,178608
59,13,448,8041947,411284
83,12,455,14027069,108250
74,14,204,10471737,304939
64,2,956,4186150,1649
