N,D,Q,score,est
31,2,128,8412050,31400
56,6,1120,8017155,126198
94,5,2009,5448351,50230
80,6,2288,7189686,93930
43,9,435,7802279,107838
42,10,202,6392324,494210
65,2,346,3749300,75274
79,5,294,9933951,107870
39,7,197,10432695,275723
55,12,885,4112094,197996
65,10,1690,9845212,244809
59,13,340,8427676,411284
77,13,1193,6765354,157850
52,13,954,5382345,1570355
50,11,568,5160788,234099
44,11,270,5359698,1214474
45,4,221,32225298,122655
43,6,97,15261819,206178
68,9,1028,10166996,249015
82,10,1182,9042349,143068
96,20,2071,5696724,811968
89,17,2707,5079405,282944
40,2,378,22437550,15812
59,6,1069,2405396,126000
91,12,1079,13975792,204739
99,23,999,6981047,1889877
96,2,1344,12324950,973
43,8,395,7644986,212850
80,7,226,16228645,144213
72,17,1423,4696417,1587061
74,3,410,6319117,55437
59,2,254,19731450,953
71,8,301,16874471,126732
90,18,253,9981525,287601
32,8,418,2830128,362625
72,6,354,16387043,139856
81,6,516,6179204,145632
86,21,382,8260190,2124345
89,8,670,16650209,121312
61,4,214,10308926,81874
42,5,410,9847620,198795
36,9,117,5474623,692162
87,9,2486,5056509,166903
88,17,199,11935600,287891
98,13,1536,9280358,206630
57,11,355,12228084,158488
45,3,860,8377976,92310
59,12,328,6103241,221720
54,7,1183,6485278,203642
93,12,476,12866952,244353
66,4,1200,14068838,118153
36,6,428,8318861,289930
46,6,145,7050331,200965
61,5,162,21272337,109480
54,9,435,4637281,226731
39,6,331,3206049,183886
92,12,1757,10903674,233226
96,3,200,19999792,42657
49,8,1467,8234878,171712
34,8,107,15851476,343827
57,6,396,5165231,151191
69,10,342,13902266,168130
36,5,185,12346972,182797
96,12,933,10283099,148672
86,3,1312,10363290,47803
52,5,235,13175815,159307
80,9,482,15556328,156515
70,11,2101,5979876,187906
37,2,194,3769550,112393
45,8,1001,4337530,228023
49,6,235,14507452,214062
54,3,1483,10988384,76283
62,13,318,9170151,135539
100,5,612,9158595,86492
38,7,214,11419381,284613
42,2,279,27959800,106139
32,7,117,14374683,311297
99,22,2574,4772721,1497252
49,8,168,6370181,171712
51,4,1344,11899357,94118
83,4,485,16900659,92220
86,18,1620,6524746,669749
47,7,253,10244282,222134
71,5,292,10698185,45320
51,5,1101,17094750,80809
91,22,1274,7185292,2103861
39,5,309,2757867,233407
58,2,125,15099700,85699
30,5,227,8523083,249024
89,13,2489,9960837,107030
69,11,403,8206178,153977
74,12,2358,9672451,184823
53,9,960,11058318,192921
74,12,161,20503299,184823
66,2,2009,17185600,75274
52,9,159,17798943,178608
59,13,448,8166659,411284
83,12,455,9677342,108250
74,14,204,13555896,304939
64,2,956,3802850,1649
