図鑑番号,ポケモン名
001,ドードー
002,ドードリオ
003,タマタマ
004,ナッシー
004,アローラナッシー
005,サイホーン
006,サイドン
007,ドサイドン
008,コンパン
009,モルフォン
010,エレキッド
011,エレブー
012,エレキブル
013,ブビィ
014,ブーバー
015,ブーバーン
016,ピンプク
017,ラッキー
018,ハピナス
019,ストライク
020,ハッサム
021,バサギリ
022,ケンタロス
023,シママ
024,ゼブライカ
025,キリンリキ
026,リキキリン
027,メグロコ
028,ワルビル
029,ワルビアル
030,シガロコ
031,ベラカス
032,ワシボン
033,ウォーグル
034,バルチャイ
035,バルジーナ
036,シシコ
037,カエンジシ
038,シキジカ
039,メブキジカ
040,ドーブル
041,ロトム
041,ヒートロトム
041,ウォッシュロトム
041,フロストロトム
041,スピンロトム
041,カットロトム
042,マホミル
043,マホイップ
044,ナックラー
045,ビブラーバ
046,フライゴン
047,ツツケラ
048,ケララッパ
049,ドデカバシ
050,メノクラゲ
051,ドククラゲ
052,タッツー
053,シードラ
054,キングドラ
055,ハギギシリ
056,モンメン
057,エルフーン
058,キュワワー
059,ナマケロ
060,ヤルキモノ
061,ケッキング
062,ナゾノクサ
063,クサイハナ
064,ラフレシア
065,キレイハナ
066,アローラディグダ
067,アローラダグトリオ
068,アローラベトベター
069,アローラベトベトン
070,ザングース
071,ハブネーク
072,マケンカニ
073,ケケンカニ
074,オドリドリ(めらめら)
074,オドリドリ(ぱちぱち)
074,オドリドリ(ふらふら)
074,オドリドリ(まいまい)
075,ガラルヤドン
076,ガラルヤドラン
077,ガラルヤドキング
078,チョンチー
079,ランターン
080,マーイーカ
081,カラマネロ
082,ラブカス
083,ケイコウオ
084,ネオラント
085,ママンボウ
086,コータス
087,ヤヤコマ
088,ヒノヤコマ
089,ファイアロー
090,シズクモ
091,オニシズクモ
092,バルキー
093,サワムラー
094,エビワラー
095,カポエラー
096,アローライシツブテ
097,アローラゴローン
098,アローラゴローニャ
099,モグリュー
100,ドリュウズ
101,ゴチム
102,ゴチミル
103,ゴチルゼル
104,ニャスパー
105,ニャオニクス♂
105,ニャオニクス♀
106,メテノ(流星)
106,メテノ(コア)
107,ズガイドス
108,ラムパルド
109,タテトプス
110,トリデプス
111,チラーミィ
112,チラチーノ
113,エアームド
114,チルット
115,チルタリス
116,コイル
117,レアコイル
118,ジバコイル
119,プラスル
120,マイナン
121,ズルッグ
122,ズルズキン
123,ゴビット
124,ゴルーグ
125,ドンメル
126,バクーダ
127,ヤバチャ
128,ポットデス
129,ポリゴン
130,ポリゴン2
131,ポリゴンZ
132,バチュル
133,デンチュラ
134,シビシラス
135,シビビール
136,シビルドン
137,ダンバル
138,メタング
139,メタグロス
140,キバゴ
141,オノンド
142,オノノクス
143,パウワウ
144,ジュゴン
145,ラプラス
146,ヒスイハリーセン
147,ハリーマン
148,ユニラン
149,ダブラン
150,ランクルス
151,ブルー
152,グランブル
153,クマシュン
154,ツンベアー
155,アローラサンド
156,アローラサンドパン
157,アローラロコン
158,アローラキュウコン
159,ユキカブリ
160,ユキノオー
161,ジュラルドン
162,ブリジュラス
163,カミツオロチ
164,フシギダネ
165,フシギソウ
166,フシギバナ
167,ヒトカゲ
168,リザード
169,リザードン
170,ゼニガメ
171,カメール
172,カメックス
173,チコリータ
174,ベイリーフ
175,メガニウム
176,ヒノアラシ
177,マグマラシ
178,バクフーン
179,ワニノコ
180,アリゲイツ
181,オーダイル
182,キモリ
183,ジュプトル
184,ジュカイン
185,アチャモ
186,ワカシャモ
187,バシャーモ
188,ミズゴロウ
189,ヌマクロー
190,ラグラージ
191,ナエトル
192,ハヤシガメ
193,ドダイトス
194,ヒコザル
195,モウカザル
196,ゴウカザル
197,ポッチャマ
198,ポッタイシ
199,エンペルト
200,ツタージャ
201,ジャノビー
202,ジャローダ
203,ポカブ
204,チャオブー
205,エンブオー
206,ミジュマル
207,フタチマル
208,ダイケンキ
209,ハリマロン
210,ハリボーグ
211,ブリガロン
212,フォッコ
213,テールナー
214,マフォクシー
215,ケロマツ
216,ゲコガシラ
217,ゲッコウガ
218,モクロー
219,フクスロー
220,ジュナイパー
221,ニャビー
222,ニャヒート
223,ガオガエン
224,アシマリ
225,オシャマリ
226,アシレーヌ
227,サルノリ
228,バチンキー
229,ゴリランダー
230,ヒバニー
231,ラビフット
232,エースバーン
233,メッソン
234,ジメレオン
235,インテレオン
236,ウガツホムラ
237,タケルライコ
238,テツノカシラ
239,テツノイワオ
240,テラパゴス
240,テラパゴス(テラスタル)
240,テラパゴス(ステラ)
241,ウネルミナモ
242,テツノイサハ
243,モモワロウ
