図鑑番号,ポケモン名
001,モクロー
002,フクスロー
003,ヒスイジュナイパー
004,ヒノアラシ
005,マグマラシ
006,ヒスイバクフーン
007,ミジュマル
008,フタチマル
009,ヒスイダイケンキ
010,ビッパ
011,ビーダル
012,ムックル
013,ムクバード
014,ムクホーク
015,コリンク
016,ルクシオ
017,レントラー
018,ケムッソ
019,カラサリス
020,アゲハント
021,マユルド
022,ドクケイル
023,ポニータ
024,ギャロップ
025,イーブイ
026,シャワーズ
027,サンダース
028,ブースター
029,エーフィ
030,ブラッキー
031,リーフィア
032,グレイシア
033,ニンフィア
034,ズバット
035,ゴルバット
036,クロバット
037,フワンテ
038,フワライド
039,コロボーシ
040,コロトック
041,ブイゼル
042,フローゼル
043,ミノムッチ
044,ミノマダム(くさき)
044,ミノマダム(すなち)
044,ミノマダム(ゴミ)
045,ガーメイル
046,イシツブテ
047,ゴローン
048,ゴローニャ
049,オドシシ
050,アヤシシ
051,ゴンベ
052,カビゴン
053,パラス
054,パラセクト
055,ピチュー
056,ピカチュウ
057,ライチュウ
058,ケーシィ
059,ユンゲラー
060,フーディン
061,ヒコザル
062,モウカザル
063,ゴウカザル
064,ミミロル
065,ミミロップ
066,チェリンボ
067,チェリム
068,コダック
069,ゴルダック
070,ミツハニー
071,ビークイン
072,ストライク
073,バサギリ
074,ハッサム
075,ヘラクロス
076,マネネ
077,バリヤード
078,エイパム
079,エテボース
080,コイキング
081,ギャラドス
082,カラナクシ
083,トリトドン
084,ヒスイハリーセン
085,ハリーマン
086,ピンプク
087,ラッキー
088,ハピナス
089,スボミー
090,ロゼリア
091,ロズレイド
092,マスキッパ
093,チュリネ
094,ヒスイドレディア
095,モンジャラ
096,モジャンボ
097,ドジョッチ
098,ナマズン
099,グレッグル
100,ドクロッグ
101,ラルトス
102,キルリア
103,サーナイト
104,エルレイド
105,ヤンヤンマ
106,メガヤンマ
107,ヒポポタス
108,カバルドン
109,パチリス
110,スカンプー
111,スカタンク
112,ヒメグマ
113,リングマ
114,ガチグマ
115,ヌメラ
116,ヒスイヌメイル
117,ヒスイヌメルゴン
118,イワーク
119,ハガネール
120,サイホーン
121,サイドン
122,ドサイドン
123,ウソハチ
124,ウソッキー
125,ベロリンガ
126,ベロベルト
127,トゲピー
128,トゲチック
129,トゲキッス
130,ナエトル
131,ハヤシガメ
132,ドダイトス
133,ポリゴン
134,ポリゴン2
135,ポリゴンZ
136,ゴース
137,ゴースト
138,ゲンガー
139,ミカルゲ
140,ヤミカラス
141,ドンカラス
142,アンノーン
143,タマザラシ
144,トドグラー
145,トドゼルガ
146,テッポウオ
147,オクタン
148,スコルピ
149,ドラピオン
150,ヒスイガーディ
151,ヒスイウインディ
152,ニャルマー
153,ブニャット
154,ワンリキー
155,ゴーリキー
156,カイリキー
157,ペラップ
158,ヨマワル
159,サマヨール
160,ヨノワール
161,ポッチャマ
162,ポッタイシ
163,エンペルト
164,タマンタ
165,マンタイン
166,バスラオ(白)
167,イダイトウ♂
167,イダイトウ♀
168,ロコン
168,アローラロコン
169,キュウコン
169,アローラキュウコン
170,メノクラゲ
171,ドククラゲ
172,ケイコウオ
173,ネオラント
174,ブビィ
175,ブーバー
176,ブーバーン
177,コイル
178,レアコイル
179,ジバコイル
180,ドーミラー
181,ドータクン
182,エレキッド
183,エレブー
184,エレキブル
185,グライガー
186,グライオン
187,フカマル
188,ガバイト
189,ガブリアス
190,ノズパス
191,ダイノーズ
192,ヒスイビリリダマ
193,ヒスイマルマイン
194,ロトム
194,ヒートロトム
194,ウォッシュロトム
194,フロストロトム
194,スピンロトム
194,カットロトム
195,リーシャン
196,チリーン
197,ムウマ
198,ムウマージ
199,ピィ
200,ピッピ
201,ピクシー
202,ニューラ
202,ヒスイニューラ
203,オオニューラ
204,マニューラ
205,ユキワラシ
206,オニゴーリ
207,ユキメノコ
208,ズガイドス
209,ラムパルド
210,タテトプス
211,トリデプス
212,ウリムー
213,イノムー
214,マンムー
215,カチコール
216,ヒスイクレベース
217,ユキカブリ
218,ユキノオー
219,ヒスイゾロア
220,ヒスイゾロアーク
221,ワシボン
222,ヒスイウォーグル
223,リオル
224,ルカリオ
225,ユクシー
226,エムリット
227,アグノム
228,ヒードラン
229,レジギガス
230,クレセリア
231,トルネロス(化身)
231,トルネロス(霊獣)
232,ボルトロス(化身)
232,ボルトロス(霊獣)
233,ランドロス(化身)
233,ランドロス(霊獣)
234,ラブトロス(化身)
234,ラブトロス(霊獣)
235,ディアルガ
235,ディアルガ(オリジン)
236,パルキア
236,パルキア(オリジン)
237,ギラティナ(アナザー)
237,ギラティナ(オリジン)
238,アルセウス
239,フィオネ
240,マナフィ
241,シェイミ(ランド)
241,シェイミ(スカイ)
242,ダークライ
