図鑑番号,ポケモン名
001,ユキハミ
002,モスノウ
003,ウールー
004,バイウールー
005,ホシガリス
006,ヨクバリス
007,ウリムー
008,イノムー
009,マンムー
010,マネネ
011,バリヤード
011,ガラルバリヤード
012,バリコオル
013,ムチュール
014,ルージュラ
015,エレキッド
016,エレブー
017,エレキブル
018,ブビィ
019,ブーバー
020,ブーバーン
021,タブンネ
022,バニプッチ
023,バニリッチ
024,バイバニラ
025,ユキワラシ
026,オニゴーリ
027,ユキメノコ
028,ニューラ
029,マニューラ
030,フリージオ
031,ユキカブリ
032,ユキノオー
033,ボクレー
034,オーロット
035,チルット
036,チルタリス
037,ベロバー
038,ギモー
039,オーロンゲ
040,ミブリム
041,テブリム
042,ブリムオン
043,ピィ
044,ピッピ
045,ピクシー
046,ミミッキュ
047,ミカルゲ
048,ヒトモシ
049,ランプラー
050,シャンデラ
051,ゴチム
052,ゴチミル
053,ゴチルゼル
054,ユニラン
055,ダブラン
056,ランクルス
057,ドッコラー
058,ドテッコツ
059,ローブシン
060,ドジョッチ
061,ナマズン
062,コイキング
063,ギャラドス
064,バスラオ(赤)
064,バスラオ(青)
065,ニドラン♀
066,ニドリーナ
067,ニドクイン
068,ニドラン♂
069,ニドリーノ
070,ニドキング
071,ジグザグマ
071,ガラルジグザグマ
072,マッスグマ
072,ガラルマッスグマ
073,タチフサグマ
074,イーブイ
075,シャワーズ
076,サンダース
077,ブースター
078,ブラッキー
079,エーフィ
080,グレイシア
081,リーフィア
082,ニンフィア
083,チゴラス
084,ガチゴラス
085,アマルス
086,アマルルガ
087,ドーミラー
088,ドータクン
089,イシヘンジン
090,コオリッポ(アイス)
090,コオリッポ(ナイス)
091,シズクモ
092,オニシズクモ
093,バチュル
094,デンチュラ
095,カブルモ
096,シュバルゴ
097,チョボマキ
098,アギルダー
099,ヤクデ
100,マルヤクデ
101,アイアント
102,クイタラン
103,ダルマッカ
103,ガラルダルマッカ
104,ヒヒダルマ
104,ヒヒダルマ(ダルマ)
104,ガラルヒヒダルマ
104,ヒヒダルマ(ダルマ・ガラル)
105,ポニータ
105,ガラルポニータ
106,ギャロップ
106,ガラルギャロップ
107,アブソル
108,ゾウドウ
109,ダイオウドウ
110,ドラメシヤ
111,ドロンチ
112,ドラパルト
113,タツベイ
114,コモルー
115,ボーマンダ
116,フカマル
117,ガバイト
118,ガブリアス
119,クリムガン
120,デリバード
121,クマシュン
122,ツンベアー
123,オムナイト
124,オムスター
125,カブト
126,カブトプス
127,プテラ
128,メレシー
129,ダンバル
130,メタング
131,メタグロス
132,ヤバチャ
133,ポットデス
134,リオル
135,ルカリオ
136,モノズ
137,ジヘッド
138,サザンドラ
139,ヨーギラス
140,サナギラス
141,バンギラス
142,カチコール
143,クレベース
144,ズバット
145,ゴルバット
146,クロバット
147,プロトーガ
148,アバゴーラ
149,アーケン
150,アーケオス
151,ヤジロン
152,ネンドール
153,ゴビット
154,ゴルーグ
155,ワンパチ
156,パルスワン
157,モルペコ
158,バチンウニ
159,タマザラシ
160,トドグラー
161,トドゼルガ
162,ダダリン
163,ココガラ
164,アオガラス
165,アーマーガア
166,ヒメンカ
167,ワタシラガ
168,モンメン
169,エルフーン
170,ツボツボ
171,イエッサン♂
171,イエッサン♀
172,ゴンベ
173,カビゴン
174,ヤミラミ
175,クチート
176,タンドン
177,トロッゴン
178,セキタンザン
179,テッシード
180,ナットレイ
181,オンバット
182,オンバーン
183,リリーラ
184,ユレイドル
185,アノプス
186,アーマルド
187,ジーランス
188,ヒンバス
189,ミロカロス
190,ラプラス
191,ココドラ
192,コドラ
193,ボスゴドラ
194,ミニリュウ
195,ハクリュー
196,カイリュー
197,レジロック
198,レジアイス
199,レジスチル
200,レジエレキ
201,レジドラゴ
202,フリーザー
202,ガラルフリーザー
203,サンダー
203,ガラルサンダー
204,ファイヤー
204,ガラルファイヤー
205,コバルオン
206,テラキオン
207,ビリジオン
208,ブリザポス
209,レイスポス
210,バドレックス
210,バドレックス(はくば)
210,バドレックス(こくば)
