図鑑番号,ポケモン名
001,イトマル
002,アリアドス
003,ヤンヤンマ
004,メガヤンマ
005,ウパー
006,ヌオー
007,ポチエナ
008,グラエナ
009,バルビート
010,イルミーゼ
011,ヘイガニ
012,シザリガー
013,クルミル
014,クルマユ
015,ハハコモリ
016,アブリー
017,アブリボン
018,アーボ
019,アーボック
020,ピチュー
021,ピカチュウ
022,ライチュウ
023,マダツボミ
024,ウツドン
025,ウツボット
026,オタチ
027,オオタチ
028,ムックル
029,ムクバード
030,ムクホーク
031,カリキリ
032,ラランテス
033,カジッチュ
034,アップリュー
035,タルップル
036,カミッチュ
037,ロコン
038,キュウコン
039,ニョロモ
040,ニョロゾ
041,ニョロボン
042,ニョロトノ
043,コイキング
044,ギャラドス
045,ホーホー
046,ヨルノズク
047,エイパム
048,エテボース
049,ヘラクロス
050,ウリムー
051,イノムー
052,マンムー
053,オドシシ
054,タネボー
055,コノハナ
056,ダーテング
057,ラルトス
058,キルリア
059,サーナイト
060,エルレイド
061,コロボーシ
062,コロトック
063,パチリス
064,リオル
065,ルカリオ
066,チュリネ
067,ドレディア
068,ボクレー
069,オーロット
070,イワンコ
071,ルガルガン(まひる)
071,ルガルガン(まよなか)
071,ルガルガン(たそがれ)
072,ホシガリス
073,ヨクバリス
074,ノノクラゲ
075,リククラゲ
076,チャデス
077,ヤバソチャ
078,ガーディ
079,ウインディ
080,イシツブテ
081,ゴローン
082,ゴローニャ
083,ウソハチ
084,ウソッキー
085,ドッコラー
086,ドテッコツ
087,ローブシン
088,オンバット
089,オンバーン
090,サシカマス
091,カマスジョー
092,ミブリム
093,テブリム
094,ブリムオン
095,モルペコ
096,ミミズズ
097,ワッカネズミ
098,イッカネズミ
098,イッカネズミ(4ひき)
099,マンキー
100,オコリザル
101,コノヨザル
102,ゴンベ
103,カビゴン
104,ハスボー
105,ハスブレロ
106,ルンパッパ
107,ノズパス
108,ダイノーズ
109,コリンク
110,ルクシオ
111,レントラー
112,アゴジムシ
113,デンヂムシ
114,クワガノン
115,オドリドリ(めらめら)
115,オドリドリ(ぱちぱち)
115,オドリドリ(ふらふら)
115,オドリドリ(まいまい)
116,サンド
117,サンドパン
118,ゴース
119,ゴースト
120,ゲンガー
121,グライガー
122,グライオン
123,デルビル
124,ヘルガー
125,バネブー
126,ブーピッグ
127,バルチャイ
128,バルジーナ
129,ドロバンコ
130,バンバドロ
131,ジャラコ
132,ジャランゴ
133,ジャラランガ
134,オトシドリ
135,ドガース
136,マタドガス
137,コジョフー
138,コジョンド
139,ヨマワル
140,サマヨール
141,ヨノワール
142,リーシャン
143,チリーン
144,マグマッグ
145,マグカルゴ
146,ヒトモシ
147,ランプラー
148,シャンデラ
149,アメタマ
150,アメモース
151,ピィ
152,ピッピ
153,ピクシー
154,ドーミラー
155,ドータクン
156,キラーメ
157,キラフロル
158,ヒンバス
159,ミロカロス
160,ノコッチ
161,ノココッチ
161,ノココッチ(みつふし)
162,ドジョッチ
163,ナマズン
164,フカマル
165,ガバイト
166,ガブリアス
167,メレシー
168,ヤトウモリ
169,エンニュート
170,ニューラ
171,マニューラ
172,ユキワラシ
173,オニゴーリ
174,ユキメノコ
175,シビシラス
176,シビビール
177,シビルドン
178,ヌメラ
179,ヌメイル
180,ヌメルゴン
181,コアルヒー
182,スワンナ
183,カムカメ
184,カジリガメ
185,ウッウ
186,コマタナ
187,キリキザン
188,ドドゲザン
189,ミミッキュ
190,ベロバー
191,ギモー
192,オーロンゲ
193,イエッサン♂
193,イエッサン♀
194,バスラオ(白)
195,イダイトウ♂
195,イダイトウ♀
196,ガチグマ(アカツキ)
197,イイネイヌ
198,マシマシラ
199,キチキギス
200,オーガポン
200,オーガポン(いど)
200,オーガポン(かまど)
200,オーガポン(いしずえ)
