図鑑番号,ポケモン名
001,ニャオハ
002,ニャローテ
003,マスカーニャ
004,ホゲータ
005,アチゲータ
006,ラウドボーン
007,クワッス
008,ウェルカモ
009,ウェーニバル
010,グルトン
011,パフュートン♂
011,パフュートン♀
012,タマンチュラ
013,ワナイダー
014,マメバッタ
015,エクスレッグ
016,ハネッコ
017,ポポッコ
018,ワタッコ
019,ヤヤコマ
020,ヒノヤコマ
021,ファイアロー
022,パモ
023,パモット
024,パーモット
025,デルビル
026,ヘルガー
027,ヤングース
028,デカグース
029,ホシガリス
030,ヨクバリス
031,ヒマナッツ
032,キマワリ
033,コロボーシ
034,コロトック
035,コフキムシ
036,コフーライ
037,ビビヨン
038,ミツハニー
039,ビークイン
040,ココガラ
041,アオガラス
042,アーマーガア
043,ピンプク
044,ラッキー
045,ハピナス
046,ルリリ
047,マリル
048,マリルリ
049,アメタマ
050,アメモース
051,ブイゼル
052,フローゼル
053,パルデアウパー
054,ドオー
055,コダック
056,ゴルダック
057,カムカメ
058,カジリガメ
059,ププリン
060,プリン
061,プクリン
062,ラルトス
063,キルリア
064,サーナイト
065,エルレイド
066,スリープ
067,スリーパー
068,ゴース
069,ゴースト
070,ゲンガー
071,ワッカネズミ
072,イッカネズミ
072,イッカネズミ(4ひき)
073,ピチュー
074,ピカチュウ
075,ライチュウ
076,パピモッチ
077,バウッツェル
078,ナマケロ
079,ヤルキモノ
080,ケッキング
081,アマカジ
082,アママイコ
083,アマージョ
084,ミニーブ
085,オリーニョ
086,オリーヴァ
087,ウソハチ
088,ウソッキー
089,イワンコ
090,ルガルガン(まひる)
090,ルガルガン(まよなか)
090,ルガルガン(たそがれ)
091,タンドン
092,トロッゴン
093,セキタンザン
094,コリンク
095,ルクシオ
096,レントラー
097,ムックル
098,ムクバード
099,ムクホーク
100,オドリドリ(めらめら)
100,オドリドリ(ぱちぱち)
100,オドリドリ(ふらふら)
100,オドリドリ(まいまい)
101,メリープ
102,モココ
103,デンリュウ
104,チュリネ
105,ドレディア
106,キノココ
107,キノガッサ
108,カジッチュ
109,アップリュー
110,タルップル
111,バネブー
112,ブーピッグ
113,イキリンコ
113,イキリンコ(ブルー)
113,イキリンコ(イエロー)
113,イキリンコ(ホワイト)
114,ムウマ
115,ムウマージ
116,マクノシタ
117,ハリテヤマ
118,マケンカニ
119,ケケンカニ
120,ヤトウモリ
121,エンニュート
122,ゴマゾウ
123,ドンファン
124,ゾウドウ
125,ダイオウドウ
126,フカマル
127,ガバイト
128,ガブリアス
129,コジオ
130,ジオヅム
131,キョジオーン
132,キャモメ
133,ペリッパー
134,コイキング
135,ギャラドス
136,サシカマス
137,カマスジョー
138,バスラオ(赤)
138,バスラオ(青)
139,ゴクリン
140,マルノーム
141,ニャース
142,ペルシアン
143,フワンテ
144,フワライド
145,フラベベ
146,フラエッテ
147,フラージェス
148,ディグダ
149,ダグトリオ
150,コータス
151,ドンメル
152,バクーダ
153,ドーミラー
154,ドータクン
155,キバゴ
156,オノンド
157,オノノクス
158,マンキー
159,オコリザル
160,コノヨザル
161,アサナン
162,チャーレム
163,リオル
164,ルカリオ
165,カルボウ
166,グレンアルマ
167,ソウブレイズ
168,ドジョッチ
169,ナマズン
170,ズピカ
171,ハラバリー
172,ヌメラ
173,ヌメイル
174,ヌメルゴン
175,グレッグル
176,ドクロッグ
177,カイデン
178,タイカイデン
179,イーブイ
180,シャワーズ
181,サンダース
182,ブースター
183,エーフィ
184,ブラッキー
185,リーフィア
186,グレイシア
187,ニンフィア
188,ノコッチ
189,ノココッチ
189,ノココッチ(みつふし)
190,シキジカ
191,メブキジカ
192,キリンリキ
193,リキキリン
194,ベトベター
195,ベトベトン
196,オラチフ
197,マフィティフ
198,エレズン
199,ストリンダー(ハイ)
199,ストリンダー(ロー)
200,デデンネ
201,パチリス
202,シルシュルー
203,タギングル
204,オドシシ
205,タマゲタケ
206,モロバレル
207,ビリリダマ
208,マルマイン
209,コイル
210,レアコイル
211,ジバコイル
212,メタモン
213,ガーディ
214,ウインディ
215,ヒメグマ
216,リングマ
217,ザングース
218,ハブネーク
219,チルット
220,チルタリス
221,メェークル
222,ゴーゴート
223,ケンタロス(パルデア単)
223,ケンタロス(パルデア炎)
223,ケンタロス(パルデア水)
224,シシコ
225,カエンジシ
226,スカンプー
227,スカタンク
228,ゾロア
229,ゾロアーク
230,ニューラ
231,マニューラ
232,ヤミカラス
233,ドンカラス
234,ゴチム
235,ゴチミル
236,ゴチルゼル
237,ヤバチャ
238,ポットデス
239,ミミッキュ
240,クレッフィ
241,イエッサン♂
241,イエッサン♀
242,アノクサ
243,アノホラグサ
244,ノノクラゲ
245,リククラゲ
246,トロピウス
247,カリキリ
248,ラランテス
249,ガケガニ
250,カプサイジ
251,スコヴィラン
252,サボネア
253,ノクタス
254,シガロコ
255,ベラカス
256,コンパン
257,モルフォン
258,クヌギダマ
259,フォレトス
260,ストライク
261,ハッサム
262,ヘラクロス
263,ヒラヒナ
264,クエスパトラ
265,ヒポポタス
266,カバルドン
267,メグロコ
268,ワルビル
269,ワルビアル
270,スナヘビ
271,サダイジャ
272,ドロバンコ
273,バンバドロ
274,メラルバ
275,ウルガモス
276,タツベイ
277,コモルー
278,ボーマンダ
279,カヌチャン
280,ナカヌチャン
281,デカヌチャン
282,ミブリム
283,テブリム
284,ブリムオン
285,ベロバー
286,ギモー
287,オーロンゲ
288,ウミディグダ
289,ウミトリオ
290,オトシドリ
291,ナミイルカ
292,イルカマン(ナイーブ)
292,イルカマン(マイティ)
293,ブロロン
294,ブロロローム
295,モトトカゲ
296,ミミズズ
297,ヤミラミ
298,カゲボウズ
299,ジュペッタ
300,タイレーツ
301,ルチャブル
302,ミカルゲ
303,オンバット
304,オンバーン
305,ドラメシヤ
306,ドロンチ
307,ドラパルト
308,キラーメ
309,キラフロル
310,ロトム
310,ヒートロトム
310,ウォッシュロトム
310,フロストロトム
310,スピンロトム
310,カットロトム
311,ボチ
312,ハカドッグ
313,ヤレユータン
314,ナゲツケサル
315,ネッコアラ
316,ヨーギラス
317,サナギラス
318,バンギラス
319,イシヘンジン
320,コオリッポ(アイス)
320,コオリッポ(ナイス)
321,バチンウニ
322,スナバァ
323,シロデスナ
324,ヤドン
325,ヤドラン
326,ヤドキング
327,カラナクシ
328,トリトドン
329,シェルダー
330,パルシェン
331,ハリーセン
332,ラブカス
333,ケイコウオ
334,ネオラント
335,ハギギシリ
336,ママンボウ
337,クズモー
338,ドラミドロ
339,ウデッポウ
340,ブロスター
341,シビシラス
342,シビビール
343,シビルドン
344,ヒドイデ
345,ドヒドイデ
346,カラミンゴ
347,ミニリュウ
348,ハクリュー
349,カイリュー
350,ユキハミ
351,モスノウ
352,ユキカブリ
353,ユキノオー
354,デリバード
355,クマシュン
356,ツンベアー
357,ユキワラシ
358,オニゴーリ
359,ユキメノコ
360,フリージオ
361,アルクジラ
362,ハルクジラ
363,カチコール
364,クレベース
365,ワシボン
366,ウォーグル
367,コマタナ
368,キリキザン
369,ドドゲザン
370,モノズ
371,ジヘッド
372,サザンドラ
373,ミガルーサ
374,ヘイラッシャ
375,シャリタツ
375,シャリタツ(たれた)
375,シャリタツ(のびた)
376,イダイナキバ
377,サケブシッポ
378,アラブルタケ
379,ハバタクカミ
380,チヲハウハネ
381,スナノケガワ
382,テツノワダチ
383,テツノツツミ
384,テツノカイナ
385,テツノコウベ
386,テツノドクガ
387,テツノイバラ
388,セビエ
389,セゴール
390,セグレイブ
391,コレクレー(はこ)
391,コレクレー(とほ)
392,サーフゴー
393,チオンジェン
394,パオジアン
395,ディンルー
396,イーユイ
397,トドロクツキ
398,テツノブジン
399,コライドン
400,ミライドン
