図鑑番号,ポケモン名
001,ヤドン
001,ガラルヤドン
002,ヤドラン
002,ガラルヤドラン
003,ヤドキング
003,ガラルヤドキング
004,ミミロル
005,ミミロップ
006,ピンプク
007,ラッキー
008,ハピナス
009,ホシガリス
010,ヨクバリス
011,ププリン
012,プリン
013,プクリン
014,サッチムシ
015,レドームシ
016,イオルブ
017,カリキリ
018,ラランテス
019,カジッチュ
020,アップリュー
021,タルップル
022,ヤヤコマ
023,ヒノヤコマ
024,ファイアロー
025,コリンク
026,ルクシオ
027,レントラー
028,クレッフィ
029,コマタナ
030,キリキザン
031,ケーシィ
032,ユンゲラー
033,フーディン
034,ラルトス
035,キルリア
036,サーナイト
037,エルレイド
038,クラブ
039,キングラー
040,メノクラゲ
041,ドククラゲ
042,コイキング
043,ギャラドス
044,テッポウオ
045,オクタン
046,タマンタ
047,マンタイン
048,キャモメ
049,ペリッパー
050,スコルピ
051,ドラピオン
052,ノコッチ
053,バッフロン
054,ベロリンガ
055,ベロベルト
056,カムカメ
057,カジリガメ
058,ウパー
059,ヌオー
060,ヌメラ
061,ヌメイル
062,ヌメルゴン
063,クリムガン
064,チョボマキ
065,アギルダー
066,カブルモ
067,シュバルゴ
068,フシギダネ
069,フシギソウ
070,フシギバナ
071,ゼニガメ
072,カメール
073,カメックス
074,フシデ
075,ホイーガ
076,ペンドラー
077,タマゲタケ
078,モロバレル
079,キュワワー
080,モンジャラ
081,モジャンボ
082,グレッグル
083,ドクロッグ
084,ピチュー
085,ピカチュウ
086,ライチュウ
086,アローラライチュウ
087,ゾロア
088,ゾロアーク
089,ヤレユータン
090,ナゲツケサル
091,ヘイガニ
092,シザリガー
093,ウッウ
094,トサキント
095,アズマオウ
096,サシカマス
097,カマスジョー
098,ヒトデマン
099,スターミー
100,ダクマ
101,ウーラオス(いちげき)
101,ウーラオス(れんげき)
102,エモンガ
103,デデンネ
104,モルペコ
105,コイル
106,レアコイル
107,ジバコイル
108,マーイーカ
109,カラマネロ
110,ヨワシ(単独)
110,ヨワシ(群れ)
111,キバニア
112,サメハダー
113,ヨーテリー
114,ハーデリア
115,ムーランド
116,ケンタロス
117,ミルタンク
118,ストライク
119,ハッサム
120,カイロス
121,ヘラクロス
122,イシズマイ
123,イワパレス
124,コソクムシ
125,グソクムシャ
126,バチンウニ
127,ヒドイデ
128,ドヒドイデ
129,タタッコ
130,オトスパス
131,シェルダー
132,パルシェン
133,スナバァ
134,シロデスナ
135,フワンテ
136,フワライド
137,ドジョッチ
138,ナマズン
139,ルリリ
140,マリル
141,マリルリ
142,ニョロモ
143,ニョロゾ
144,ニョロボン
145,ニョロトノ
146,コダック
147,ゴルダック
148,ゴニョニョ
149,ドゴーム
150,バクオング
151,コロモリ
152,ココロモリ
153,エアームド
154,ダンゴロ
155,ガントル
156,ギガイアス
157,イワンコ
158,ルガルガン(まひる)
158,ルガルガン(まよなか)
158,ルガルガン(たそがれ)
159,ヤトウモリ
160,エンニュート
161,ズルッグ
162,ズルズキン
163,コジョフー
164,コジョンド
165,ジャラコ
166,ジャランゴ
167,ジャラランガ
168,サンド
168,アローラサンド
169,サンドパン
169,アローラサンドパン
170,カラカラ
171,ガラガラ
171,アローラガラガラ
172,ガルーラ
173,コータス
174,スナヘビ
175,サダイジャ
176,メグロコ
177,ワルビル
178,ワルビアル
179,ワシボン
180,ウォーグル
181,バルチャイ
182,バルジーナ
183,サイホーン
184,サイドン
185,ドサイドン
186,メラルバ
187,ウルガモス
188,チョンチー
189,ランターン
190,ホエルコ
191,ホエルオー
192,プルリル
193,ブルンゲル
194,クズモー
195,ドラミドロ
196,ウデッポウ
197,ブロスター
198,タッツー
199,シードラ
200,キングドラ
201,チュリネ
202,ドレディア
203,ミツハニー
204,ビークイン
205,タマタマ
206,ナッシー
206,アローラナッシー
207,メタモン
208,ポリゴン
209,ポリゴン2
210,ポリゴンZ
211,ザルード
